CustomerId,CatalogEntryId,score,qty,spend,u_idx,i_idx
5A7DDB93-E873-4B3A-B64B-0011552EE022,PWAT-6R3,10.59274525863144,1.0,12000.0,16,48
6634B568-16E6-42A2-97B1-000E7533221D,DP0002,3.684072969039423,1.0,10.99,17,49
6916EB98-2330-4011-8624-000971E88700,PW-MSASSK-01,5.260270581888349,1.0,56.99,18,50
699766BE-9648-4A47-8BCB-00096202611D,RSF05BSX4M,8.801402334583733,1.0,2000.0,19,51
699C2DCF-390C-48D2-8631-00007A2B0249,EHR310,3.59698576841553,1.0,9.99,20,52
6D53996D-3391-4F8D-9A26-0009992CD23E,A310 1/4M,5.930338525515131,3.0,74.97,21,53
6D53996D-3391-4F8D-9A26-0009992CD23E,A310 1/8M,4.457711848653399,1.0,24.99,21,54
6D53996D-3391-4F8D-9A26-0009992CD23E,A311 1/4M,4.542858783946922,3.0,17.97,21,55
6D53996D-3391-4F8D-9A26-0009992CD23E,A311 1/8M,3.1444805562457194,1.0,5.99,21,56
6D53996D-3391-4F8D-9A26-0009992CD23E,H310 1/2M,4.937431494696102,1.0,40.99,21,57
6D53996D-3391-4F8D-9A26-0009992CD23E,H310 1/4M,6.90570302026865,4.0,163.96,21,58
6D53996D-3391-4F8D-9A26-0009992CD23E,H310 3/4M,4.937431494696102,1.0,40.99,21,59
6D53996D-3391-4F8D-9A26-0009992CD23E,H310W 4/4M,5.242875813846909,1.0,55.99,21,60
6D53996D-3391-4F8D-9A26-0009992CD23E,H311 1/4M,5.017274543501227,4.0,23.96,21,61
6D53996D-3391-4F8D-9A26-0009992CD23E,H311 3/4M,3.1444805562457194,1.0,5.99,21,62
6D53996D-3391-4F8D-9A26-0009992CD23E,H311 4/4M,3.2781907597781834,1.0,6.99,21,63
6D53996D-3391-4F8D-9A26-0009992CD23E,J810 1/8M,4.195232148512309,1.0,18.99,21,64
6D53996D-3391-4F8D-9A26-0009992CD23E,J811 1/8M,2.9900914121273585,1.0,4.99,21,65
6E2BA013-9025-4A3B-8FDB-0006CC55B877,PW-CT-12,9.137731775260107,1.0,2800.0,22,45
74509832-672D-49B6-99ED-0001A4F24EFE,VAS0125G2,4.665423353961427,1.0,30.99,23,66
74509832-672D-49B6-99ED-0001A4F24EFE,VTS0125G2,4.726066363708025,1.0,32.99,23,67
7734D5FB-E4F3-492B-B47C-0009F0D163B4,1CWH4-10B1,3.3961128484835292,1.0,7.99,24,68
7734D5FB-E4F3-492B-B47C-0009F0D163B4,1CWH4-10B7,4.232036180883202,2.0,15.98,24,69
7734D5FB-E4F3-492B-B47C-0009F0D163B4,1CWH4-10B9,3.684072969039423,1.0,10.99,24,70
7734D5FB-E4F3-492B-B47C-0009F0D163B4,EJ10,3.3961128484835292,1.0,7.99,24,71
78448CED-8B2E-4840-AD2C-0012699ED289,50A04,11.33143535717035,3.0,36.480000000000004,25,72
78448CED-8B2E-4840-AD2C-0012699ED289,50A05,3.7710843460290526,1.0,12.08,25,73
78448CED-8B2E-4840-AD2C-0012699ED289,50A12,12.185606442973537,4.0,48.56,25,74
78448CED-8B2E-4840-AD2C-0012699ED289,50A13,8.396339777861293,3.0,36.24,25,75
78448CED-8B2E-4840-AD2C-0012699ED289,50B01,11.733410133373914,9.0,109.43,25,76
78448CED-8B2E-4840-AD2C-0012699ED289,50B06,12.214484543354232,10.0,121.75,25,77
78448CED-8B2E-4840-AD2C-0012699ED289,50BNJ000,6.098532415245647,6.0,48.33,25,78
78448CED-8B2E-4840-AD2C-0012699ED289,50C01,3.7710843460290526,1.0,12.08,25,79
78448CED-8B2E-4840-AD2C-0012699ED289,50C03,4.64415363205247,2.0,24.64,25,80
78448CED-8B2E-4840-AD2C-0012699ED289,50C04,8.414522096944484,3.0,36.480000000000004,25,81
78448CED-8B2E-4840-AD2C-0012699ED289,50E02,4.62525543183224,2.0,24.16,25,82
78448CED-8B2E-4840-AD2C-0012699ED289,50E03,9.26940906388471,4.0,48.8,25,83
78448CED-8B2E-4840-AD2C-0012699ED289,50E08,4.62525543183224,2.0,24.16,25,84
78448CED-8B2E-4840-AD2C-0012699ED289,50E09,12.214484543354232,10.0,121.75,25,85
78448CED-8B2E-4840-AD2C-0012699ED289,50F08,10.342280532288505,6.0,72.95,25,86
78448CED-8B2E-4840-AD2C-0012699ED289,50G00,4.737043277205311,4.0,17.86,25,87
78448CED-8B2E-4840-AD2C-0012699ED289,50H01,4.62525543183224,2.0,24.16,25,88
78448CED-8B2E-4840-AD2C-0012699ED289,50H10,11.41573428395808,8.0,97.59,25,89
78448CED-8B2E-4840-AD2C-0012699ED289,50JS01,12.244958571134951,9.0,135.09,25,90
78448CED-8B2E-4840-AD2C-0012699ED289,50JS03,3.96506045581899,1.0,14.88,25,91
78448CED-8B2E-4840-AD2C-0012699ED289,50JS04,4.8258899942525275,2.0,29.75,25,92
78448CED-8B2E-4840-AD2C-0012699ED289,50JS06,3.96506045581899,1.0,14.88,25,93
78448CED-8B2E-4840-AD2C-0012699ED289,50JS07,3.96506045581899,1.0,14.88,25,94
78448CED-8B2E-4840-AD2C-0012699ED289,ARF7GM,7.962844630259907,10.0,142.0,25,95
78448CED-8B2E-4840-AD2C-0012699ED289,B10G2,9.11762131390134,5.0,41.519999999999996,25,96
78448CED-8B2E-4840-AD2C-0012699ED289,B12G1,4.871468274987372,3.0,25.35,25,97
78448CED-8B2E-4840-AD2C-0012699ED289,B12G2,23.31743926800104,13.0,113.22,25,98
78448CED-8B2E-4840-AD2C-0012699ED289,B12ONX2,7.449387949009418,2.0,22.990000000000002,25,99
78448CED-8B2E-4840-AD2C-0012699ED289,B13G1,12.484813924911123,12.0,111.96000000000001,25,100
78448CED-8B2E-4840-AD2C-0012699ED289,B13G2,15.571911993019404,11.0,101.45,25,101
78448CED-8B2E-4840-AD2C-0012699ED289,B13HDD,5.113930651649394,3.0,32.58,25,102
78448CED-8B2E-4840-AD2C-0012699ED289,B13ONX2,7.577958265683016,2.0,24.65,25,103
78448CED-8B2E-4840-AD2C-0012699ED289,B1420,11.609811630052802,8.0,111.2,25,104
78448CED-8B2E-4840-AD2C-0012699ED289,B14ECSRD,9.314654022484907,4.0,49.96,25,105
78448CED-8B2E-4840-AD2C-0012699ED289,B14G1,15.75073712208463,12.0,117.24000000000001,25,106
78448CED-8B2E-4840-AD2C-0012699ED289,B14G1-B,14.885302512980633,20.0,168.0,25,107
78448CED-8B2E-4840-AD2C-0012699ED289,B14G14,3.5813962734183358,1.0,9.82,25,108
78448CED-8B2E-4840-AD2C-0012699ED289,B14G2,18.820093645343075,18.0,173.28,25,109
78448CED-8B2E-4840-AD2C-0012699ED289,B14HDD,22.785816850125894,17.0,192.19,25,110
78448CED-8B2E-4840-AD2C-0012699ED289,B15G1,3.6731713935695796,1.0,10.86,25,111
78448CED-8B2E-4840-AD2C-0012699ED289,B15G2,4.523245593852951,2.0,21.72,25,112
78448CED-8B2E-4840-AD2C-0012699ED289,B16G1,10.222493773612225,6.0,64.98,25,113
78448CED-8B2E-4840-AD2C-0012699ED289,B16G2,17.121383077600424,13.0,142.11,25,114
78448CED-8B2E-4840-AD2C-0012699ED289,B16ONX2,3.9180005319553786,1.0,14.15,25,115
78448CED-8B2E-4840-AD2C-0012699ED289,B18G2,3.9414849771884475,1.0,14.51,25,116
78448CED-8B2E-4840-AD2C-0012699ED289,BD18EMAD,14.519666193864463,4.0,110.7,25,117
78448CED-8B2E-4840-AD2C-0012699ED289,BD20CT,4.361246712031565,1.0,22.6,25,118
78448CED-8B2E-4840-AD2C-0012699ED289,BD20EMAD,10.031110083724869,3.0,84.9,25,119
78448CED-8B2E-4840-AD2C-0012699ED289,BD20EMAD2,10.031110083724869,3.0,84.9,25,120
78448CED-8B2E-4840-AD2C-0012699ED289,BD20G1CW,8.543533919659977,2.0,41.16,25,121
78448CED-8B2E-4840-AD2C-0012699ED289,BD20G2,8.543533919659977,2.0,41.16,25,122
78448CED-8B2E-4840-AD2C-0012699ED289,BD20GMAD,4.577587516023022,1.0,28.3,25,123
78448CED-8B2E-4840-AD2C-0012699ED289,BD20HB,4.345874931983711,1.0,22.24,25,124
78448CED-8B2E-4840-AD2C-0012699ED289,BD20RGCW,4.498056622742642,1.0,26.06,25,125
78448CED-8B2E-4840-AD2C-0012699ED289,BD22CT,4.4148678034706625,1.0,23.9,25,126
78448CED-8B2E-4840-AD2C-0012699ED289,BD22EMAD,23.19983201799982,10.0,296.70000000000005,25,127
78448CED-8B2E-4840-AD2C-0012699ED289,BD22EMAD2,24.869845401840312,7.0,207.69,25,128
78448CED-8B2E-4840-AD2C-0012699ED289,BD22G1CW,5.197733859026019,2.0,43.6,25,129
78448CED-8B2E-4840-AD2C-0012699ED289,BD22G2,4.326760535960395,1.0,21.8,25,130
